sentence_id_ai,speech_id,electoral_term,session,party,first_name,last_name,date,topic,combined_text,combined_text_preprocessed
594070,769569,17,162,Linke,jan,korte,2012-03-01,Policy,Zwei Anmerkungen zum Schluss: Erstens bedeutet das vorliegende Gesetz einen weiteren großen Schritt zur Kommerzialisierung aller Geodaten. Diese Entwicklung entspricht keineswegs den Grundsätzen von Open Data und Open Government.,zwei anmerkungen schluss erstens bedeutet vorliegende weiteren großen schritt kommerzialisierung geodaten entwicklung entspricht keineswegs grundsätzen open data open government
594093,769570,17,162,Grüne,konstantin,notz,2012-03-01,Policy,"Es ist zu wenig, wie der vorliegende Gesetzentwurf das tut, einem interministeriellen Aus- schuss für Geoinformationswesen die Befugnis zu über- tragen, technische Richtlinien festzulegen und das Bundesamt für Kartographie und Geodäsie zur selbst- ständigen Bundesoberbehörde aufzuwerten. Da müsste sich der Gesetzgeber schon etwas weiter vorwagen und selbst Grundprinzipien des modernen offenen Staates im Sinne von Open-Data-Prinzipien festlegen.",wenig vorliegende tut interministeriellen schuss geoinformationswesen befugnis tragen technische richtlinien festzulegen bundesamt kartographie geodäsie ständigen bundesoberbehörde aufzuwerten müsste gesetzgeber vorwagen grundprinzipien modernen offenen staates sinne opendataprinzipien festlegen
630376,771883,17,173,Grüne,konstantin,notz,2012-03-30,Society,"- Solche Fragen berühren die Menschen ganz konkret. Wenn komplexe Algorithmen über soziale Teilhabechancen von Menschen entscheiden, dann laufen die Grundrechte einfach leer.",fragen berühren menschen ganz konkret komplexe algorithmen soziale teilhabechancen menschen entscheiden laufen grundrechte einfach leer
665393,774274,17,181,FDP,judith,skudelny,2012-05-24,Policy,"Sie ist in das Projekt Open Government der Bundesregierung eingebettet und Teil des Regierungsprogramms „Vernetzte und transparente Verwaltung“. Einen Schwerpunkt dieses Projekts bildet der Ausbau von Open Data, also von öffentlich verfügbaren Datenbeständen der öffentlichen Hand, insbesondere zur Weiterverwendung und Weiterverbreitung.",projekt open government bundesregierung eingebettet teil regierungsprogramms „vernetzte transparente verwaltung“ schwerpunkt projekts bildet ausbau open data öffentlich verfügbaren datenbeständen öffentlichen hand insbesondere weiterverwendung weiterverbreitung
665449,774276,17,181,Grüne,dorothea,steiner,2012-05-24,Policy,"Von den wirklich bedeutenden Baustellen wie den einzelnen Bestandteilen der Energiewende will ich hier im Detail nicht sprechen. Zum Gesetzentwurf konkret möchte ich Folgendes sagen: Es ist zu begrüßen, dass die Bundesregierung umfassend freien Zugang zu Geodaten gewährleisten will und sich damit in Sachen Open Government und Open Data konkret etwas traut, freilich wohl nur aufgrund des Druckes einer EU-Richtlinie im Nacken.",bedeutenden baustellen einzelnen bestandteilen energiewende detail sprechen konkret möchte folgendes sagen begrüßen bundesregierung umfassend freien zugang geodaten gewährleisten sachen open government open data konkret traut freilich aufgrund druckes eurichtlinie nacken
670190,774494,17,182,Grüne,konstantin,notz,2012-05-25,Policy,"Einerseits nehmen die Menschen zwar ihre neuen Rechte zunehmend in Anspruch, andererseits aber ist der eigentlich gewollte Paradigmenwechsel offensichtlich noch nicht vollzogen; denn die Ausnahmevorschriften verhindern regelmäßig eine tatsächliche Umsetzung des gewollten Freiheitsanspruchs. Bei der Weiterentwicklung der Informationsfreiheit müssen wir den Gedanken von Open Data mit dem Ziel einer proaktiven Veröffentlichungspflicht aufnehmen.",einerseits nehmen menschen neuen rechte zunehmend anspruch andererseits gewollte paradigmenwechsel offensichtlich vollzogen ausnahmevorschriften verhindern regelmäßig tatsächliche umsetzung gewollten freiheitsanspruchs weiterentwicklung informationsfreiheit müssen gedanken open data ziel proaktiven veröffentlichungspflicht aufnehmen
670225,774496,17,182,CDU/CSU,stephan,mayer,2012-05-25,Policy,"Dass diesbezüglich noch Verbesserungspotenzial besteht, ist unbestritten. Entsprechende Initiativen des Bundesinnenministeriums sowie der Innenministerien der Länder zu Open Data wurden schon gestartet.",diesbezüglich verbesserungspotenzial besteht unbestritten entsprechende initiativen bundesinnenministeriums sowie innenministerien länder open data wurden gestartet
694295,775902,17,187,Linke,niema,movassat,2012-06-28,Science,"Wenn klinische Forschung öffentlich gefördert wird, müssen Open-Access-Veröffentlichungen die Ergebnisse der Allgemeinheit kostenlos zur Verfügung stellen. In Open-Data-Lösungen liegt die Zukunft der Forschung, nicht im veralteten Patentrecht.",klinische forschung öffentlich gefördert müssen openaccessveröffentlichungen ergebnisse allgemeinheit kostenlos verfügung stellen opendatalösungen liegt zukunft forschung veralteten patentrecht
737355,778325,17,198,Grüne,konstantin,notz,2012-10-18,Policy,Diese Bundesregierung vertrödelt die Entwicklung der Transparenz in noch ganz anderen Bereichen. Auch im Bereich Open Data - das sei angemerkt - sind wir ein Transparenzentwicklungsland.,bundesregierung vertrödelt entwicklung transparenz ganz bereichen bereich open data sei angemerkt transparenzentwicklungsland
737371,778325,17,198,Grüne,konstantin,notz,2012-10-18,Policy,"Das öffentliche Interesse ist groß, ebenso der Reformdruck. Wir brauchen mehr Transparenz, stärkere Informationsrechte und eine gesetzliche Open-Data-Verpflichtung.",öffentliche interesse groß ebenso reformdruck brauchen mehr transparenz stärkere informationsrechte gesetzliche opendataverpflichtung
766639,780140,17,204,CDU/CSU,ralph,brinkhaus,2012-11-08,Policy,"Das werden wir machen. Wenn Sie sich das alles einmal anschauen, dann merken Sie, dass als Grundalgorithmus hinter dieser Verordnung steht: Risiko minimieren und Risiko transparent machen.",
803718,782083,17,212,CDU/CSU,hartmut,koschyk,2012-11-30,Economy,"Wir alle wissen, dass sich in den letzten Jahren aufgrund technologischer Entwicklungen der elektronische Handel von Finanzprodukten zunehmend ausgeweitet und an Bedeutung gewonnen hat. Bestimmte Handelsteilnehmer setzen bei diesem elektronischen Handel algorithmische Handelsprogramme, also Computerprogramme, ein.",wissen letzten jahren aufgrund technologischer entwicklungen elektronische handel finanzprodukten zunehmend ausgeweitet bedeutung gewonnen bestimmte handelsteilnehmer setzen elektronischen handel algorithmische handelsprogramme computerprogramme
803741,782083,17,212,CDU/CSU,hartmut,koschyk,2012-11-30,Economy,"Darüber hinaus werden die Dokumentationspflichten erweitert. Künftig müssen alle Änderungen der Handelsalgorithmen dokumentiert werden, um die Arbeit der Aufsicht, aber auch - das ist für uns genauso wichtig die Ahndung von marktmanipulierendem Verhalten zu erleichtern.",darüber hinaus dokumentationspflichten erweitert künftig müssen änderungen handelsalgorithmen dokumentiert arbeit aufsicht genauso wichtig ahndung marktmanipulierendem verhalten erleichtern
803743,782083,17,212,CDU/CSU,hartmut,koschyk,2012-11-30,Economy,"Die Auskunfts- und Eingriffsrechte der Börsenaufsicht und der Bundesanstalt für Finanzdienstleistungen werden in dem Gesetz konkretisiert, und bestimmte Handelsstrategien von Hochfrequenzhändlern werden als Marktmanipulation eingestuft. Ferner wird eine Pflicht zur Kennzeichnung der Algorithmen eingeführt.",auskunfts eingriffsrechte börsenaufsicht bundesanstalt finanzdienstleistungen konkretisiert bestimmte handelsstrategien hochfrequenzhändlern marktmanipulation eingestuft ferner pflicht kennzeichnung algorithmen eingeführt
803744,782083,17,212,CDU/CSU,hartmut,koschyk,2012-11-30,Economy,"Ferner wird eine Pflicht zur Kennzeichnung der Algorithmen eingeführt. Damit wird die Abschaltung der Algorithmen, die fehlerhaft sind oder zur Manipulation der Märkte eingesetzt werden können, durch Börsenaufsicht und BaFin erleichtert.",ferner pflicht kennzeichnung algorithmen eingeführt abschaltung algorithmen fehlerhaft manipulation märkte eingesetzt börsenaufsicht bafin erleichtert
803787,782085,17,212,SPD,carsten,sieling,2012-11-30,Economy,"- Es handelt sich nicht um eine Metapher, sondern um ein ernstes Problem, Kollege, und zwar um das ernste Problem, dass in Europa mittlerweile 40 Prozent des Börsenhandels in Form des Hochfrequenzhandels abgewickelt werden; in den USA sind es sogar 70 Prozent. Im Kern geht es darum, dass die Computeralgorithmen, die es gibt - der Staatssekretär hat dies angesprochen -, vorher betrachtet und untersucht werden müssen.",handelt metapher ernstes problem ernste problem europa mittlerweile prozent börsenhandels form hochfrequenzhandels abgewickelt usa prozent kern geht computeralgorithmen gibt staatssekretär angesprochen vorher betrachtet untersucht müssen
803855,782087,17,212,FDP,björn,sänger,2012-11-30,Economy,"Die Investorengruppe, die hinter dieser Investition steht, besteht ausschließlich aus Hochfrequenzhändlern; sie befördern an dieser Stelle den technischen Fortschritt. Heutzutage werden bereits circa 50 Prozent der an den wichtigsten Börsen durchgeführten Transaktionen durch Algorithmen abgewickelt, von Maschine zu Maschine.",investorengruppe investition steht besteht ausschließlich hochfrequenzhändlern befördern stelle technischen fortschritt heutzutage bereits circa prozent wichtigsten börsen durchgeführten transaktionen algorithmen abgewickelt maschine maschine
803870,782087,17,212,FDP,björn,sänger,2012-11-30,Policy,"Das zeigt eigentlich, dass wir in Deutschland am Markt schon sehr gute Schutzmechanismen haben, wenngleich wir natürlich noch nachrüsten müssen, was wir mit dem vorliegenden Gesetz tun. Auch hier gilt: Wir müssen uns das Ganze ziemlich genau anschauen, damit wir die guten Seiten, die vom algorithmischen Handel durchaus auch ausgehen, von den Problemen trennscharf unterscheiden können.",zeigt deutschland markt gute schutzmechanismen wenngleich nachrüsten müssen vorliegenden tun gilt müssen ganze ziemlich anschauen guten seiten algorithmischen handel durchaus ausgehen problemen trennscharf unterscheiden
803872,782087,17,212,FDP,björn,sänger,2012-11-30,Economy,"Finanzprodukte sind Dual-Use-Güter, vergleichbar einem Unimog, der im Winter ein sehr sinnvolles Fahrzeug zum Räumen der Straßen ist, aber eben auch in Kriegseinsätzen einsetzbar ist. Jetzt komme ich zu den, wohlgemerkt, guten Eigenschaften des algorithmischen Handels.",finanzprodukte dualusegüter vergleichbar unimog winter sinnvolles fahrzeug räumen straßen kriegseinsätzen einsetzbar komme wohlgemerkt guten eigenschaften algorithmischen handels
803873,782087,17,212,FDP,björn,sänger,2012-11-30,Economy,"Jetzt komme ich zu den, wohlgemerkt, guten Eigenschaften des algorithmischen Handels. Der Hochfrequenzhandel ist eine Teilmenge - Sie als Sozialdemokraten haben mit Sicherheit Mengenlehre in der Schule gehabt - des algorithmischen Handels.",komme wohlgemerkt guten eigenschaften algorithmischen handels hochfrequenzhandel teilmenge sozialdemokraten sicherheit mengenlehre schule gehabt algorithmischen handels
803875,782087,17,212,FDP,björn,sänger,2012-11-30,Economy,"Er wird unter anderem von großen Kapitalsammelstellen eingesetzt, von Fonds, die zum Beispiel Mittel für die Altersvorsorge verwalten. Wenn sie größere Aktienpakete in den Markt hineingeben, dann machen sie das nicht auf einmal, sondern da wird ein entsprechender Algorithmus eingesetzt, der das Aktienpaket sozusagen kurspflegend abstößt, genauso wie man natürlich auch kurspflegend ankauft.",großen kapitalsammelstellen eingesetzt fonds beispiel mittel altersvorsorge verwalten größere aktienpakete markt hineingeben entsprechender algorithmus eingesetzt aktienpaket sozusagen kurspflegend abstößt genauso kurspflegend ankauft
803876,782087,17,212,FDP,björn,sänger,2012-11-30,Economy,"Wenn sie größere Aktienpakete in den Markt hineingeben, dann machen sie das nicht auf einmal, sondern da wird ein entsprechender Algorithmus eingesetzt, der das Aktienpaket sozusagen kurspflegend abstößt, genauso wie man natürlich auch kurspflegend ankauft. Das ist zumindest aus meiner Sicht ein sehr sinnvoller Einsatz des algorithmischen Handels.",größere aktienpakete markt hineingeben entsprechender algorithmus eingesetzt aktienpaket sozusagen kurspflegend abstößt genauso kurspflegend ankauft zumindest sicht sinnvoller einsatz algorithmischen handels
803878,782087,17,212,FDP,björn,sänger,2012-11-30,Economy,- Das ist kein Hochfrequenzhandel; das ist richtig. Aber der Hochfrequenzhandel ist eine Teilmenge des algorithmischen Handels.,hochfrequenzhandel richtig hochfrequenzhandel teilmenge algorithmischen handels
803897,782087,17,212,FDP,björn,sänger,2012-11-30,Economy,"Wer am Markt handelt, muss klar sagen, wer er ist. Die Software und der Algorithmus werden dokumentiert werden müssen, damit man, wenn es Probleme gibt, darauf zurückgreifen und auch eingreifen kann.",wer markt handelt sagen wer software algorithmus dokumentiert müssen probleme gibt zurückgreifen eingreifen
803903,782087,17,212,FDP,björn,sänger,2012-11-30,Economy,"Klar ist: Wir müssen an der einen oder anderen Stelle noch das eine oder andere nachjustieren. Dazu wird es eine Anhörung geben, meines Erachtens insbesondere zu der Frage: Was genau ist denn der - in Anführungszeichen - „unschädliche“ algorithmische Handel, und wo fängt der Hochfrequenzhandel an?",müssen stelle nachjustieren anhörung geben erachtens insbesondere frage anführungszeichen „unschädliche“ algorithmische handel fängt hochfrequenzhandel
804004,782091,17,212,Grüne,gerhard,schick,2012-11-30,Economy,"Es gibt den englischen Begriff „fat finger“; das könnte man ungefähr mit „Wurstfinger“ übersetzen. Dies besagt, dass allein durch fehlerhafte Algorithmen oder Tippfehler plötzlich unglaubliche Kursentwicklungen entstehen.",gibt englischen begriff „fat finger“ ungefähr „wurstfinger“ übersetzen besagt allein fehlerhafte algorithmen tippfehler plötzlich unglaubliche kursentwicklungen entstehen
804094,782095,17,212,SPD,manfred,zöllmer,2012-11-30,Economy,"Das heißt, es geht um ein milliardstel Teil einer Sekunde. Es geht um Algorithmen, das heißt, der Mensch ist weitgehend außen vor.",heißt geht milliardstel teil sekunde geht algorithmen heißt mensch weitgehend außen
804114,782095,17,212,SPD,manfred,zöllmer,2012-11-30,Economy,"Die Probleme sind doch seit geraumer Zeit bekannt. Sie haben bisher aber nichts gemacht, obwohl die Algorithmen teilweise wirklich außer Rand und Band sind.",probleme seit geraumer zeit bekannt bisher gemacht obwohl algorithmen teilweise außer rand band
853100,785188,17,222,SPD,gerold,reichenbach,2013-02-21,Policy,"Gleichzeitig erwartet der Bürger zu Recht, dass sie transparenter, serviceorientierter, schneller und kostengünstiger arbeiten. Neben E-Government treten die Herausforderungen von Open Data bzw. Open Government.",gleichzeitig erwartet bürger recht transparenter serviceorientierter schneller kostengünstiger arbeiten neben egovernment treten herausforderungen open data bzw open government
853238,785190,17,222,Linke,jan,korte,2013-02-21,Policy,"Der Schlüssel zu mehr direkter Demokratie liegt in einer größeren Transparenz der politischen Prozesse und Verfahrensweisen sowie des Verwaltungshandelns. Schauen wir uns deshalb einmal an, wie Sie in § 12 Open Data regeln wollen: Anstatt den Informationszugang zu erleichtern, indem die auf verschiedene Gesetze aufgeteilten Regelungen zum Informationszugang einheitlich gestaltet und erweitert werden, verharren Sie im Unverbindlichen.",schlüssel mehr direkter demokratie liegt größeren transparenz politischen prozesse verfahrensweisen sowie verwaltungshandelns schauen § open data regeln anstatt informationszugang erleichtern verschiedene gesetze aufgeteilten regelungen informationszugang einheitlich gestaltet erweitert verharren unverbindlichen
853239,785190,17,222,Linke,jan,korte,2013-02-21,Policy,"Schauen wir uns deshalb einmal an, wie Sie in § 12 Open Data regeln wollen: Anstatt den Informationszugang zu erleichtern, indem die auf verschiedene Gesetze aufgeteilten Regelungen zum Informationszugang einheitlich gestaltet und erweitert werden, verharren Sie im Unverbindlichen. Eine Verknüpfung von Open Data mit einem Rechtsanspruch der Bürgerinnen und Bürger auf Informationszugang wird von Ihnen peinlich vermieden.",schauen § open data regeln anstatt informationszugang erleichtern verschiedene gesetze aufgeteilten regelungen informationszugang einheitlich gestaltet erweitert verharren unverbindlichen verknüpfung open data rechtsanspruch bürgerinnen bürger informationszugang peinlich vermieden
853245,785190,17,222,Linke,jan,korte,2013-02-21,Policy,"Dass Sie sich aber überhaupt auf den Standpunkt stellen, Bundesbehörden seien gegenüber der Öffentlichkeit nicht zur Transparenz verpflichtet, zeigt, wie viel Arbeit noch vor uns liegt, bis bei Bund und Behörden endlich der Geist der Freiheit das obrigkeitsstaatliche Denken aus den Amtsstuben vertreibt! Auch GovData, dem Open-Data-Vorzeigeprojekt der Bundesregierung, das schon 2010 auf dem IT-Gipfel in Dresden angekündigt wurde, strich man konsequenterweise das „Open“ aus dem Namen.",überhaupt standpunkt stellen bundesbehörden seien gegenüber öffentlichkeit transparenz verpflichtet zeigt arbeit liegt bund behörden endlich geist freiheit obrigkeitsstaatliche denken amtsstuben vertreibt govdata opendatavorzeigeprojekt bundesregierung itgipfel dresden angekündigt wurde strich konsequenterweise „open“ namen
853249,785190,17,222,Linke,jan,korte,2013-02-21,Policy,"Und wenn sie Daten zur Verfügung stelZu Protokoll gegebene Reden len, dann dürfen die Bürgerinnen und Bürger diese nur eingeschränkt weiterverwenden. Das hat mit Open Data nichts zu tun, mit Transparenz auch nicht.",daten verfügung stelzu protokoll gegebene reden len dürfen bürgerinnen bürger eingeschränkt weiterverwenden open data tun transparenz
853258,785191,17,222,Grüne,konstantin,notz,2013-02-21,Policy,"Eine Bundesregierung, die in diesen IT-revolutionären Zeiten so storchbeinig und langsam wie bei GovData voranschreitet, hat ein Problem. Zu Recht sind die Freundinnen und Freunde von Open Data sauer, dass die vormals als „opendata“ geplante Plattform nur „GovData“ heißt.",bundesregierung itrevolutionären zeiten storchbeinig langsam govdata voranschreitet problem recht freundinnen freunde open data sauer vormals „opendata“ geplante plattform „govdata“ heißt
853300,785191,17,222,Grüne,konstantin,notz,2013-02-21,Policy,"Im Gegensatz zur Bundesregierung bezweifeln wir allerdings, dass der Entwurf sich durch einen ganzheitlichen Ansatz auszeichnet. Vielmehr kommen zentrale Ziele des legislativen Umgangs mit E-Government, darunter der Datenschutz, aber auch Open Data, Open Source und Informationsfreiheit, im Gesetz selbst zu kurz.",gegensatz bundesregierung bezweifeln entwurf ganzheitlichen ansatz auszeichnet vielmehr kommen zentrale ziele legislativen umgangs egovernment darunter datenschutz open data open source informationsfreiheit kurz
853304,785191,17,222,Grüne,konstantin,notz,2013-02-21,Policy,Das zeigt sich schon an den Überschriften. Da heißt es „Akteneinsicht“ statt „Informationsfreiheit“ oder „Bereitstellen von Daten“ statt „Open Data“.,zeigt überschriften heißt „akteneinsicht“ statt „informationsfreiheit“ „bereitstellen daten“ statt „open data“
857716,785594,17,225,Grüne,gerhard,schick,2013-02-28,Policy,"Sie haben hier zwar an einer kleinen Stelle - das möchte ich zugestehen - noch eine Korrektur mit einem Änderungsantrag vorgenommen, aber das ändert an dem Kern des Arguments nichts. Der zweite Fehler ist, dass Ihre Transparenz- und Aufsichtsanforderungen bezüglich der Algorithmen, also der konkreten Computermodelle, mit denen gehandelt wird, zu harmlos sind.",kleinen stelle möchte zugestehen korrektur änderungsantrag vorgenommen ändert kern arguments zweite fehler transparenz aufsichtsanforderungen bezüglich algorithmen konkreten computermodelle denen gehandelt harmlos
857718,785594,17,225,Grüne,gerhard,schick,2013-02-28,Economy,"Anders kann man das einfach nicht bezeichnen. Denn Sie fordern letztlich, dass die Händler selbst ihre Algorithmen testen und ihre eigenen Algorithmen im Notfall auch stoppen können.",einfach bezeichnen fordern letztlich händler algorithmen testen eigenen algorithmen notfall stoppen
857720,785594,17,225,Grüne,gerhard,schick,2013-02-28,Economy,"Das sind doch Selbstverständlichkeiten. Entscheidend ist - und da geht das Europäische Parlament sehr viel weiter -: Die Algorithmen müssen von den Handelsplattformen getestet werden, bevor sie scharfgeschaltet werden.",selbstverständlichkeiten entscheidend geht europäische parlament algorithmen müssen handelsplattformen getestet bevor scharfgeschaltet
857721,785594,17,225,Grüne,gerhard,schick,2013-02-28,Economy,"Entscheidend ist - und da geht das Europäische Parlament sehr viel weiter -: Die Algorithmen müssen von den Handelsplattformen getestet werden, bevor sie scharfgeschaltet werden. Die Algorithmen müssen von den Händlern auf Eigeninitiative an die Aufsicht übermittelt werden.",entscheidend geht europäische parlament algorithmen müssen handelsplattformen getestet bevor scharfgeschaltet algorithmen müssen händlern eigeninitiative aufsicht übermittelt
857806,785596,17,225,CDU/CSU,klaus-peter,flosbach,2013-02-28,Economy,"Wie im sonstigen Leben auch läuft das heute vielfach über Computer. Wir erkennen, dass viele mathematische Programme genutzt werden - wir nennen sie Algorithmen -, mit denen in Bruchteilen von Sekunden Wertpapiere gekauft und verkauft werden.",sonstigen leben läuft heute vielfach computer erkennen viele mathematische programme genutzt nennen algorithmen denen bruchteilen sekunden wertpapiere gekauft verkauft
857883,785602,17,225,CDU/CSU,klaus-peter,flosbach,2013-02-28,Economy,"Damit haben wir eine Aufsicht durch die Bundesanstalt für Finanzdienstleistungsaufsicht sowohl in der Kontrolle als auch in der Solvenz. Wir wollen, dass die Algorithmen gekennzeichnet werden.",aufsicht bundesanstalt finanzdienstleistungsaufsicht sowohl kontrolle solvenz algorithmen gekennzeichnet
857923,785604,17,225,SPD,manfred,zöllmer,2013-02-28,Economy,"Der Parketthandel ist längst Geschichte. Heute bestimmen Algorithmen, was gemacht wird.",parketthandel längst geschichte heute bestimmen algorithmen gemacht
858197,785617,17,225,SPD,lothar,binding,2013-02-28,Economy,In der Überschrift des Gesetzentwurfes wird von „Gefahren und Missbräuchen“ gesprochen. Etwas weiter unten steht: „Besonderen Risiken des algorithmischen Hochfrequenzhandels“ soll „entgegengewirkt werden“.,überschrift gesetzentwurfes „gefahren missbräuchen“ gesprochen unten steht „besonderen risiken algorithmischen hochfrequenzhandels“ „entgegengewirkt werden“
858269,785619,17,225,CDU/CSU,ralph,brinkhaus,2013-02-28,Economy,"Die Realität ist, dass wir mittlerweile einen elektronischen Handel haben, dass der Parketthandel weitgehend überholt ist. Die Realität ist auch, dass nicht mehr Menschen miteinander handeln, sondern Maschinen; das nennt man algorithmisch.",realität mittlerweile elektronischen handel parketthandel weitgehend überholt realität mehr menschen miteinander handeln maschinen nennt algorithmisch
858295,785619,17,225,CDU/CSU,ralph,brinkhaus,2013-02-28,Economy,"Fairness gilt nämlich auch für die Finanzmärkte, meine Damen und Herren. Dann wurde ein besonders interessanter Vorschlag gemacht: Alles, was da gemacht wird, die sogenannten Algorithmen, sollten im Vorhinein genehmigt werden.",fairness gilt finanzmärkte wurde besonders interessanter vorschlag gemacht gemacht sogenannten algorithmen sollten vorhinein genehmigt
898795,788194,17,234,SPD,lars,klingbeil,2013-04-18,Policy,"Aber auch inhaltlich haben wir vieles auf den Weg gebracht, etwa wenn es darum geht, dass die Informationsfreiheit ausgebaut werden muss. Wir wollen endlich einen Aufbruch im Bereich von Open Data.",inhaltlich vieles gebracht etwa geht informationsfreiheit ausgebaut endlich aufbruch bereich open data
